clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,qa_video,pitcher_track_id,status
gurriel_32ae90e6_blalock_R.mp4,Bradley Blalock,687134,Hunter Goodman,696100,32ae90e6-8025-36e2-9f20-9daa2a264d9e,776742,23,3,R,59.779,958,761,13,3,1,[13:774],18,453.44,508.01,0.913,leg_lift,453.44,508.0,extension_collapse,0.651,True,True,True,True,1.0,gurriel_32ae90e6_blalock_R_annotated.mp4,188,ok
gurriel_45fd77b2_daniel_R.mp4,Davis Daniel,669721,Drake Baldwin,686948,45fd77b2-77c1-3ed3-ba55-c69f9bba5037,778147,70,3,R,59.708,600,137,137,4,0,[0:137],49,55.21,132.5,1.2945,leg_lift,55.21,132.0,extension_collapse,0.881,True,True,True,True,1.0,gurriel_45fd77b2_daniel_R_annotated.mp4,202,ok
gurriel_47ea8e44_eisert_L.mp4,Brandon Eisert,685126,Edgar Quero,700337,47ea8e44-0a0a-333c-8f0d-2f1144bdad0b,777383,60,1,L,59.75,780,632,632,2,0,[0:632],102,103.46,157.0,0.8961,leg_lift,103.46,133.0,extension_collapse,0.813,True,True,True,True,1.0,gurriel_47ea8e44_eisert_L_annotated.mp4,208,ok
gurriel_4ad6c2ba_liberatore_L.mp4,Matthew Liberatore,669461,Yohel Pozo,650968,4ad6c2ba-9c56-336a-bca7-84cfa662a49a,777786,41,3,L,59.759,628,383,383,2,0,[0:383],56,56.13,144.84,1.4845,leg_lift,56.13,63.0,extension_collapse,0.926,True,True,True,True,1.0,gurriel_4ad6c2ba_liberatore_L_annotated.mp4,309,ok
gurriel_663f6452_melton_R.mp4,Troy Melton,675512,Dillon Dingler,693307,663f6452-0b3c-3c91-9169-fe3285bfb56d,776973,12,6,R,59.828,1052,693,693,4,0,[0:693],53,114.08,180.5,1.1102,leg_lift,114.08,91.0,extension_collapse,0.931,True,True,True,True,1.0,gurriel_663f6452_melton_R_annotated.mp4,311,ok
gurriel_8b0e6fb5_bellozo_R.mp4,Valente Bellozo,678368,Liam Hicks,689414,8b0e6fb5-4580-3f53-b66f-5f7deafda6ee,777318,62,2,R,59.826,1280,377,150,4,2,[293:670],373,369.0,406.94,0.6341,leg_lift,369.0,,extension_collapse,0.893,True,False,True,False,0.75,gurriel_8b0e6fb5_bellozo_R_annotated.mp4,622,ok
gurriel_a6cd1b8b_bergert_R.mp4,Ryan Bergert,686701,Martín Maldonado,455117,a6cd1b8b-e95d-3594-b18b-66c196495f88,777515,29,2,R,59.812,786,296,296,4,0,[0:296],59,119.47,181.5,1.037,leg_lift,119.47,127.0,extension_collapse,0.874,True,True,True,True,1.0,gurriel_a6cd1b8b_bergert_R_annotated.mp4,674,ok
gurriel_a8239d9b_thornton_R.mp4,Trent Thornton,663423,Cal Raleigh,663728,a8239d9b-dc0b-375a-a015-3d7e5c55822a,777559,54,4,R,59.784,926,355,355,3,0,[0:355],72,101.11,199.43,1.6447,leg_lift,101.11,110.0,extension_collapse,0.72,True,True,True,True,1.0,gurriel_a8239d9b_thornton_R_annotated.mp4,674,ok
gurriel_aa7e34a4_wentz_L.mp4,Joey Wentz,666214,Joey Bart,663698,aa7e34a4-7b00-3cee-a39a-4c234996965c,777744,40,3,L,59.786,996,377,87,5,1,[87:464],132,179.3,258.5,1.3247,leg_lift,179.3,193.0,extension_collapse,0.722,True,True,True,True,1.0,gurriel_aa7e34a4_wentz_L_annotated.mp4,838,ok
gurriel_c78d0407_gomber_L.mp4,Austin Gomber,596295,Hunter Goodman,696100,c78d0407-c886-3693-be98-3a8216b10d2e,777430,5,5,L,59.728,680,255,255,4,0,[0:255],85,111.29,178.64,1.1276,leg_lift,111.29,142.0,extension_collapse,0.975,True,True,True,True,1.0,gurriel_c78d0407_gomber_L_annotated.mp4,961,ok
gurriel_f0389d17_sale_L.mp4,Chris Sale,519242,Sean Murphy,669221,f0389d17-bc80-3e5f-bf2f-04e1bfe7981f,777654,19,1,L,59.836,1418,1399,19,2,1,[19:1418],24,299.95,396.37,1.6114,leg_lift,299.95,323.0,extension_collapse,0.71,True,True,True,True,1.0,gurriel_f0389d17_sale_L_annotated.mp4,1023,ok
