feature,importance
post_rel_dist,0.11875545043283373
maxeff_arm_2b_3b_sba,0.10963343019796101
accel_gap,0.10768067944797129
pitcher_lead_gain_allowed,0.09261925850816759
r_primary_lead,0.09090792668366986
inning,0.07291403960719407
pop_2b_sba,0.051928934917089754
exchange_2b_3b_sba,0.04974780101092315
sprint_speed,0.04629720745772604
accel_0_30,0.03709067709429481
r_secondary_lead,0.035737912847397524
matchup_lead_diff,0.03267328000668652
maintain_30_90,0.032289019220693806
accel_5_30,0.03150957366038152
total_90,0.026132334329413
pre_rel_vel,0.019804024936986582
bolts,0.019400544827084063
r_sec_minus_prim_lead,0.013849251412272242
outs_when_up,0.011028653401253415
balls,0.0
strikes,0.0
is_count_HL,0.0
