feature,coef_z,epoch
sprint_speed,0.4712,full
speed_capped,-0.3654,full
accel_0_30,0.9194,full
accel_5_30,-0.5687,full
maintain_30_90,-0.546,full
total_90,0.0134,full
accel_gap,0.6154,full
bolts,0.086,full
r_primary_lead,-0.1244,full
r_secondary_lead,0.0449,full
r_sec_minus_prim_lead,0.2058,full
sprint_speed,0.4071,pre_2023
speed_capped,-0.0103,pre_2023
accel_0_30,0.7958,pre_2023
accel_5_30,-0.3549,pre_2023
maintain_30_90,-0.3755,pre_2023
total_90,0.0805,pre_2023
accel_gap,0.7704,pre_2023
bolts,0.1922,pre_2023
r_primary_lead,-0.0641,pre_2023
r_secondary_lead,0.0422,pre_2023
r_sec_minus_prim_lead,0.1221,pre_2023
sprint_speed,-0.0281,post_2023
speed_capped,-0.402,post_2023
accel_0_30,0.4988,post_2023
accel_5_30,-0.3935,post_2023
maintain_30_90,-0.6233,post_2023
total_90,-0.2167,post_2023
accel_gap,0.2692,post_2023
bolts,0.184,post_2023
r_primary_lead,-0.2426,post_2023
r_secondary_lead,-0.0008,post_2023
r_sec_minus_prim_lead,0.2872,post_2023
