date,pitcher_name,pitcher_id,p_throws,base,result,run_value,lead_at_firstmove_ft,lead_at_release_ft,gain_to_release_ft,delivery_s,release_conf,usable,analysis_method,play_id,avg_velocity_ftps
2025-04-27,"Daniel, Davis",669721,R,2B,SB,0.197,14.4,23.1,8.7,1.2945,0.881,True,full,45fd77b2-77c1-3ed3-ba55-c69f9bba5037,6.721
2025-05-24,"Liberatore, Matthew",669461,L,2B,SB,0.198,12.1,21.4,9.3,1.4845,0.926,True,full,4ad6c2ba-9c56-336a-bca7-84cfa662a49a,6.265
2025-05-27,"Wentz, Joey",666214,L,3B,SB,0.199,19.4,41.1,21.6,1.3247,0.722,True,full,aa7e34a4-7b00-3cee-a39a-4c234996965c,16.306
2025-06-03,"De Los Santos, Enyel",660853,,2B,BK,0.198,,,,,,False,full,682c2ba6-508e-37d9-90eb-f110e515761a,
2025-06-04,"Sale, Chris",519242,L,2B,CS,-0.451,13.4,22.4,9.0,1.6114,0.71,True,full,f0389d17-bc80-3e5f-bf2f-04e1bfe7981f,5.585
2025-06-10,"Thornton, Trent",663423,R,2B,SB,0.198,16.4,34.9,18.5,1.6447,0.72,True,full,a8239d9b-dc0b-375a-a015-3d7e5c55822a,11.248
2025-06-14,"Bergert, Ryan",686701,R,2B,SB,0.2,13.4,18.2,4.8,1.037,0.874,True,full,a6cd1b8b-e95d-3594-b18b-66c196495f88,4.629
2025-06-20,"Gomber, Austin",596295,L,2B,SB,0.199,14.0,23.4,9.3,1.1276,0.975,True,full,c78d0407-c886-3693-be98-3a8216b10d2e,8.248
2025-06-20,"Rolison, Ryan",669020,,2B,BK,0.2,,,,,,False,full,55beb605-45d1-4042-8cfe-27e43739f7b7,
2025-06-24,"Eisert, Brandon",685126,L,2B,SB,0.197,12.5,23.1,10.5,0.8961,0.813,True,full,47ea8e44-0a0a-333c-8f0d-2f1144bdad0b,11.717
2025-06-28,"Bellozo, Valente",678368,R,2B,CS,-0.451,14.4,19.1,4.8,0.6341,0.893,False,full,8b0e6fb5-4580-3f53-b66f-5f7deafda6ee,
2025-07-28,"Melton, Troy",675512,R,2B,CS,-0.45,12.6,22.9,10.3,1.1102,0.931,True,full,663f6452-0b3c-3c91-9169-fe3285bfb56d,9.278
2025-08-14,"Blalock, Bradley",687134,R,2B,SB,0.199,13.4,29.7,16.3,0.913,0.651,True,full,32ae90e6-8025-36e2-9f20-9daa2a264d9e,17.853
