game_pk,at_bat_number,pitch_number,pitcher_id,p_throws
744862,27,4,592332,R
744898,11,4,592332,R
744920,42,6,592332,R
745531,17,4,450203,R
746817,14,4,450203,R
747105,10,6,450203,R
745385,25,3,681190,R
745408,2,4,681190,R
747146,47,7,681190,R
745965,70,4,669060,R
745976,42,4,669060,R
746313,7,6,669060,R
745443,27,8,656605,R
745448,47,6,656605,R
745458,3,10,656605,R
745371,46,6,650633,R
745394,9,4,650633,R
745396,11,6,650633,R
746214,24,7,628317,R
746451,21,4,628317,R
746478,42,9,628317,R
744889,11,5,605135,R
744907,12,6,605135,R
744921,47,6,605135,R
746365,20,4,686613,R
746398,17,6,686613,R
746400,2,3,686613,R
745934,9,6,668678,R
746718,22,5,668678,R
747151,3,6,668678,R
745253,57,9,472610,R
746222,59,3,472610,R
747801,48,3,472610,R
746521,2,6,663372,R
746566,22,6,663372,R
747222,40,8,663372,R
744994,35,9,570632,R
745000,42,4,570632,R
746555,54,5,570632,R
745062,41,6,621107,R
745070,31,5,621107,R
746423,26,8,621107,R
745231,11,5,622491,R
745252,10,7,622491,R
745258,41,6,622491,R
745085,31,4,641793,R
745100,13,5,641793,R
745105,4,5,641793,R
745693,13,3,676710,R
746980,16,5,676710,R
747900,4,3,676710,R
746460,23,3,656427,R
746476,16,7,656427,R
747826,21,7,656427,R
745914,8,6,656557,R
746526,46,6,656557,R
746955,3,7,656557,R
744926,16,4,594902,R
746585,14,3,594902,R
746973,11,6,594902,R
